speaker;text
Кот;Последний остров позади. Даже не верится, что мы все осмотрели.
Напарник;Да, ты отлично справился. Теперь у нас есть полные данные по всему архипелагу.
Кот;Каждый остров был таким разным. Некоторые выглядели совсем пустыми, а другие скрывали столько находок…
Напарник;Именно поэтому это исследование было важно. Раньше эти места просто игнорировали.
Кот;Думаешь, сюда еще вернутся исследователи?
Напарник;Обязательно. Благодаря тебе эти острова теперь есть не только на карте, но и в отчетах.
Кот;Тогда можно считать миссию завершенной.
Напарник;Да. Корабль готов, курс проложен.
Напарник;Отправляемся домой.
Кот;Хорошо. Думаю, это путешествие я запомню надолго…
