speaker;text
Кот;Море сегодня спокойное. Сложно поверить, что туда почти никто не доплывал.
Напарник;Неудивительно. Эти острова долго считались бесполезными, поэтому их просто обходили стороной.
Кот;Мы уже третий день в море. Напомни, зачем мы вообще туда плывем?
Напарник;Этот архипелаг совсем недавно отметили на картах, но толком не исследовали.
Кот;То есть острова есть, а данных почти нет?
Напарник;Именно! Твоя задача — высадиться на каждом острове, осмотреть местность и собрать находки.
Кот;Я так понимаю, ты остаешься с кораблем.
Напарник;Да. Я буду ждать здесь и следить за курсом.
Напарник;Как закончишь с островом, возвращайся и мы поплывем к следующему
Кот;Всего пять островов, верно?
Напарник;Да. Когда изучим все — миссия будет выполнена и можно возвращаться домой.
Напарник;Мы почти приплыли, смотри!
